name,movescount,00,01,02,03,10,11,12,13,20,21,22,23,30,31,32,33
achyuth,0,16,4,2,2,0,2,0,0,0,0,0,0,0,0,2,0,end
achyuth,20,32,4,2,2,0,2,0,0,0,0,2,0,0,0,0,0,end
achyuth,5,8,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,end
achyuth,7,0,0,0,0,0,0,0,0,0,0,4,8,2,0,2,2,end
achyuth,5,4,2,0,2,4,0,0,2,0,0,0,0,0,0,0,0,end
achyuth,4,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4,4,end
achyuth,22,32,4,4,0,2,4,0,2,0,0,0,0,0,0,0,0,end
achyuth,20,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,end
achyuth,25,32,8,4,2,4,4,0,0,0,0,0,0,0,0,0,0,end
achyuth,8,8,4,2,0,4,0,0,0,0,0,0,2,0,0,0,0,end
achyuth,14,16,4,0,0,8,0,0,0,0,2,0,0,2,0,0,0,end
